code	name	currentratio	quickratio	cashratio	c_name	currentratio_mean	quickratio_mean	cashratio_mean
000975	银泰资源	12.475299835205078	10.956600189208984	329.9367980957031	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
300333	兆日科技	40.69499969482422	37.568199157714844	2825.455322265625	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
002625	光启技术	64.07140350341797	63.8302001953125	5997.08203125	汽车制造	2.3937068955571044	2.0345823630398394	109.02280992620132
002575	群兴玩具	35.741798400878906	35.73720169067383	1032.3863525390625	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
600633	浙数文化	19.82859992980957	19.799800872802734	1226.0186767578125	传媒娱乐	2.957087185138311	2.683812839862628	147.82979896741037
300149	量子生物	31.601699829101562	30.153400421142578	2547.414794921875	食品行业	2.9659962863833815	2.350512972032582	140.59777213467493
000416	民生控股	31.35650062561035	31.356199264526367	1793.05029296875	商业百货	1.8679153900388832	1.4780703186579458	77.51979636098002
603696	安记食品	21.660999298095703	19.86949920654297	1133.120361328125	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
002621	三垒股份	26.102699279785156	23.570600509643555	1035.0419921875	机械行业	2.576087673382806	1.9909660143071208	65.21263996720901
002038	双鹭药业	24.29990005493164	22.51930046081543	1216.7877197265625	生物制药	3.4337355237650242	2.8237473826463284	127.16375156609635
300223	北京君正	30.318599700927734	26.64539909362793	174.4499053955078	电子器件	3.2843177007371875	2.7697102116281482	96.40055774993637
000831	五矿稀土	21.186599731445312	12.09630012512207	582.4157104492188	有色金属	2.0638089522496976	1.4554716408697528	70.95576739311218
300485	赛升药业	19.83209991455078	18.595399856567383	543.260009765625	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
300235	方直科技	17.144699096679688	16.70639991760254	1139.816650390625	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
300628	亿联网络	23.78019905090332	22.96470069885254	2085.362548828125	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
603336	宏辉果蔬	23.750999450683594	16.1156005859375	452.4036865234375	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
300377	赢时胜	16.085599899291992	16.066600799560547	903.205322265625	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
300613	富瀚微	29.272899627685547	27.521699905395508	2480.796875	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
002802	洪汇新材	32.73889923095703	31.43899917602539	276.96771240234375	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
603189	网达软件	26.78689956665039	25.90559959411621	2050.23681640625	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
002581	未名医药	17.653099060058594	16.845699310302734	887.7216796875	化工行业	2.529101399274973	2.0832090725848724	84.44795861611
300494	盛天网络	20.487499237060547	20.472700119018555	1638.87451171875	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
300122	智飞生物	30.935699462890625	27.93429946899414	1655.0928955078125	生物制药	3.4337355237650242	2.8237473826463284	127.16375156609635
603040	新坐标	18.753400802612305	16.827199935913086	1057.1357421875	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
002007	华兰生物	15.327099800109863	10.746800422668457	131.23109436035156	生物制药	3.4337355237650242	2.8237473826463284	127.16375156609635
000155	川化股份	21.786300659179688	21.786300659179688	1561.8546142578125	农药化肥	2.071261541201518	1.7379743884771297	93.58927158208994
600527	江南高纤	15.57859992980957	9.753299713134766	730.1080932617188	化纤行业	2.4102480149269105	1.5830879890918732	78.61266799926757
300081	恒信东方	14.219799995422363	13.391799926757812	1145.2027587890625	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
300099	精准信息	10.621500015258789	9.684800148010254	420.8096008300781	仪器仪表	3.7520375214517117	2.9810124964763722	121.28594740231831
000813	德展健康	19.59480094909668	18.527999877929688	941.468994140625	纺织行业	2.522343627153299	2.00995640647717	92.99098734977918
300357	我武生物	18.829500198364258	18.262500762939453	737.5991821289062	生物制药	3.4337355237650242	2.8237473826463284	127.16375156609635
000503	国新健康	15.005599975585938	15.003299713134766	1212.152099609375	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
300346	南大光电	39.170501708984375	35.535301208496094	254.0072021484375	电子器件	3.2843177007371875	2.7697102116281482	96.40055774993637
300143	星普医科	12.162400245666504	12.049799919128418	415.1957092285156	农林牧渔	2.665835027396679	1.8362499850491683	67.9296720345815
002805	丰元股份	10.207500457763672	6.608099937438965	98.30789947509766	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
300076	GQY视讯	15.437800407409668	14.13070011138916	906.1190185546875	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
300508	维宏股份	16.312999725341797	14.515600204467773	303.9573974609375	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
002348	高乐股份	8.586600303649902	7.458199977874756	422.3594970703125	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
600506	香梨股份	32.54410171508789	24.625	185.38369750976562	农林牧渔	2.665835027396679	1.8362499850491683	67.9296720345815
300379	东方通	9.566100120544434	9.314800262451172	544.8098754882812	电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588
002699	美盛文化	17.157499313354492	16.174400329589844	217.7445068359375	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
603615	茶花股份	14.062199592590332	12.08180046081543	963.6177978515625	其它行业	4.188343345345432	3.5343616801420694	162.50591042605976
300127	银河磁体	16.848100662231445	14.835000038146973	398.4573974609375	电子器件	3.2843177007371875	2.7697102116281482	96.40055774993637
