code	name	debt_values
000975	银泰资源	1.652
300333	兆日科技	14.604
002625	光启技术	36.716
002575	群兴玩具	7.174
600633	浙数文化	6.459
300149	量子生物	12.867
000416	民生控股	19.377
603696	安记食品	4.796
002621	三垒股份	11.614
002038	双鹭药业	7.207
300223	北京君正	5.887
000831	五矿稀土	7.928
300485	赛升药业	3.362
300235	方直科技	5.548
300628	亿联网络	7.142
603336	宏辉果蔬	3.259
300377	赢时胜	4.768
300613	富瀚微	8.782
002802	洪汇新材	5.038
603189	网达软件	7.581
002581	未名医药	7.526
300494	盛天网络	5.765
300122	智飞生物	9.639
603040	新坐标	4.134
002007	华兰生物	2.101
000155	川化股份	12.247
600527	江南高纤	6.304
300081	恒信东方	4.883
300099	精准信息	2.183
000813	德展健康	8.037
300357	我武生物	4.917
000503	国新健康	5.318
300346	南大光电	8.130
300143	星普医科	4.746
002805	丰元股份	0.610
300076	GQY视讯	4.486
300508	维宏股份	2.232
002348	高乐股份	1.205
600506	香梨股份	8.449
300379	东方通	2.422
002699	美盛文化	2.281
603615	茶花股份	3.140
300127	银河磁体	3.873
603729	龙韵股份	6.182
000096	广聚能源	4.244
603819	神力股份	2.615
300590	移为通信	3.640
300305	裕兴股份	6.723
603688	石英股份	2.378
300530	达志科技	4.231
002820	桂发祥	0.528
002413	雷科防务	2.558
300561	汇金科技	2.864
002015	霞客环保	2.843
300609	汇纳科技	3.988
300139	晓程科技	1.848
603508	思维列控	1.946
002759	天际股份	-0.285
300406	九强生物	4.764
603023	威帝股份	2.244
002776	柏堡龙	4.127
300018	中元股份	6.807
300522	世名科技	1.888
002729	好利来	1.149
002495	佳隆股份	1.681
603398	邦宝益智	1.976
300394	天孚通信	2.743
300525	博思软件	2.325
002843	泰嘉股份	1.537
300191	潜能恒信	3.400
300583	赛托生物	1.875
603058	永吉股份	1.182
300107	建新股份	2.072
002141	贤丰控股	3.168
300042	朗科科技	2.395
300519	新光药业	3.787
600212	江泉实业	0.105
002322	理工环科	1.353
000722	湖南发展	11.605
300352	北信源	3.907
000971	高升控股	0.936
300518	盛讯达	10.925
300559	佳发教育	1.277
002502	骅威文化	1.768
300595	欧普康视	2.490
300109	新开源	0.874
300656	民德电子	2.132
000623	吉林敖东	-0.070
002762	金发拉比	1.823
603238	诺邦股份	1.677
002858	力盛赛车	1.948
300587	天铁股份	1.746
603037	凯众股份	1.785
002530	金财互联	3.090
300371	汇中股份	1.503
002553	南方轴承	1.696
300474	景嘉微	2.642
000688	建新矿业	0.469
002364	中恒电气	2.310
600883	博闻科技	9.384
603036	如通股份	3.686
300459	金科文化	0.656
300672	国科微	1.160
300534	陇神戎发	0.299
300175	朗源股份	0.328
300535	达威股份	1.383
002622	融钰集团	0.557
300553	集智股份	1.302
300446	乐凯新材	4.104
603016	新宏泰	1.259
603020	爱普股份	2.725
002749	国光股份	5.374
600381	青海春天	15.091
300314	戴维医疗	1.312
002320	海峡股份	4.303
000697	炼石有色	3.462
600573	惠泉啤酒	0.525
300054	鼎龙股份	2.109
002459	天业通联	1.631
600868	梅雁吉祥	0.522
300016	北陆药业	0.982
002198	嘉应制药	0.387
300417	南华仪器	0.875
002349	精华制药	0.021
002724	海洋王	3.084
002691	冀凯股份	1.889
603421	鼎信通讯	0.700
002351	漫步者	1.125
002632	道明光学	2.226
300183	东软载波	2.461
002247	帝龙文化	0.991
000606	顺利办	1.079
300443	金雷风电	2.443
300291	华录百纳	1.199
300250	初灵信息	0.608
002595	豪迈科技	0.851
300214	日科化学	1.021
300639	凯普生物	0.204
002862	实丰文化	0.387
002669	康达新材	3.549
600576	祥源文化	0.223
300354	东华测试	2.527
603811	诚意药业	1.469
300077	国民技术	1.145
300620	光库科技	3.068
002546	新联电子	2.708
002817	黄山胶囊	0.738
002540	亚太科技	1.896
300148	天舟文化	0.635
