code	name	debt_values
300314	戴维医疗	1.312
300553	集智股份	1.302
002563	森马服饰	1.302
002222	福晶科技	1.302
002212	南洋股份	1.294
600167	联美控股	1.294
603888	新华网	1.291
600055	万东医疗	1.284
300066	三川智慧	1.282
300559	佳发教育	1.277
002484	江海股份	1.260
603016	新宏泰	1.259
000040	东旭蓝天	1.259
300533	冰川网络	1.225
300492	山鼎设计	1.221
002348	高乐股份	1.205
300108	吉药控股	1.202
300291	华录百纳	1.199
002658	雪迪龙	1.191
300345	红宇新材	1.190
300199	翰宇药业	1.187
603058	永吉股份	1.182
002223	鱼跃医疗	1.178
300005	探路者	1.170
603005	晶方科技	1.168
600563	法拉电子	1.166
002041	登海种业	1.163
300672	国科微	1.160
002729	好利来	1.149
300151	昌红科技	1.148
002082	万邦德	1.148
300077	国民技术	1.145
002576	通达动力	1.136
002351	漫步者	1.125
300179	四方达	1.120
300236	上海新阳	1.113
002338	奥普光电	1.112
600703	三安光电	1.105
300515	三德科技	1.103
002158	汉钟精机	1.100
002674	兴业科技	1.089
002372	伟星新材	1.088
300196	长海股份	1.084
600012	皖通高速	1.082
000606	顺利办	1.079
000965	天保基建	1.066
600992	贵绳股份	1.059
600640	号百控股	1.048
002444	巨星科技	1.039
600714	金瑞矿业	1.038
002750	龙津药业	1.037
000056	皇庭国际	1.033
300214	日科化学	1.021
600488	天药股份	1.013
300327	中颖电子	1.011
300521	爱司凯	1.010
000819	岳阳兴长	1.010
002058	威尔泰	0.998
603078	江化微	0.996
300598	诚迈科技	0.995
300468	四方精创	0.992
002247	帝龙文化	0.991
002398	建研集团	0.987
300623	捷捷微电	0.985
300516	久之洋	0.985
603839	安正时尚	0.984
300470	日机密封	0.983
300016	北陆药业	0.982
300610	晨化股份	0.981
002586	围海股份	0.980
002529	海源机械	0.979
002150	通润装备	0.971
603519	立霸股份	0.965
600838	上海九百	0.948
000971	高升控股	0.936
000820	神雾节能	0.934
002106	莱宝高科	0.929
300055	万邦达	0.929
601199	江南水务	0.927
002063	远光软件	0.921
002487	大金重工	0.917
603806	福斯特	0.913
