code	name	currentratio	quickratio	cashratio	
300360	炬华科技	3.448499917984009	3.0413999557495117	147.04469299316406	
002519	银河电子	2.629300117492676	2.2276999950408936	112.69380187988281	
603338	浙江鼎力	2.895699977874756	2.311500072479248	136.8092041015625	
002666	德联集团	3.0957000255584717	2.3018999099731445	61.870201110839844	
300102	乾照光电	3.3243000507354736	2.9054999351501465	41.90739822387695	
300627	华测导航	5.082300186157227	4.332200050354004	258.6304016113281	
300165	天瑞仪器	2.9563000202178955	2.3657000064849854	161.97659301757812	
603086	先达股份	3.435800075531006	2.027100086212158	20.162399291992188	
603496	恒为科技	3.549499988555908	2.5081000328063965	102.67970275878906	
300253	卫宁健康	2.2753000259399414	2.1178998947143555	76.43450164794922	
300326	凯利泰	2.1461000442504883	1.9333000183105469	87.14730072021484	
300222	科大智能	2.249000072479248	1.7611000537872314	20.410499572753906	
002478	常宝股份	2.990299940109253	2.2355000972747803	108.13849639892578	
603218	日月股份	3.316499948501587	2.9456000328063965	125.04850006103516	
002562	兄弟科技	1.9580999612808228	1.5852999687194824	95.92829895019531	
600378	天科股份	3.0227999687194824	2.6303999423980713	144.17909240722656	
002458	益生股份	0.8438000082969666	0.5655999779701233	16.1299991607666	
000858	五粮液	3.8496999740600586	3.250999927520752	233.01409912109375	
300498	温氏股份	1.9745999574661255	0.8673999905586243	10.68649959564209	
000929	兰州黄河	3.2855000495910645	2.580899953842163	174.9915008544922	
000998	隆平高科	2.6419999599456787	1.889299988746643	41.4640998840332	
002439	启明星辰	2.6310999393463135	2.3738999366760254	78.09020233154297	
300285	国瓷材料	2.691200017929077	2.299499988555908	141.3018035888672	
002492	恒基达鑫	2.1120998859405518	2.104099988937378	101.58159637451172	
600516	方大炭素	3.283600091934204	2.6958000659942627	116.33090209960938	
600062	华润双鹤	2.392400026321411	1.995300054550171	82.57749938964844	
300049	福瑞股份	5.074699878692627	4.788099765777588	298.6242980957031	
300350	华鹏飞	1.9536999464035034	1.277899980545044	36.42300033569336	
300092	科新机电	2.864300012588501	2.311000108718872	5.010700225830078	
300585	奥联电子	3.8773000240325928	3.2067999839782715	155.58140563964844	
603979	金诚信	3.609600067138672	3.1277999877929688	93.42639923095703	
002372	伟星新材	2.557800054550171	2.032399892807007	114.83049774169922	
300158	振东制药	2.1717000007629395	1.8151999711990356	35.637298583984375	
300035	中科电气	2.263400077819824	1.8746999502182007	68.9010009765625	
300064	豫金刚石	4.69379997253418	4.387199878692627	101.38249969482422	
603899	晨光文具	3.1287999153137207	2.3131000995635986	83.26719665527344	
300008	天海防务	2.138400077819824	0.9081000089645386	47.863800048828125	
603966	法兰泰克	4.063300132751465	3.0227999687194824	166.2655029296875	
300571	平治信息	5.1880998611450195	5.1880998611450195	276.5176086425781	
000576	广东甘化	4.88730001449585	4.477700233459473	259.46881103515625	
000673	当代东方	3.4825000762939453	2.777600049972534	48.01380157470703	
603006	联明股份	2.1861000061035156	1.3924000263214111	28.775400161743164	
600080	金花股份	1.0930999517440796	0.9453999996185303	9.064000129699707	
002250	联化科技	3.2118000984191895	2.4440999031066895	159.75799560546875	
000609	中迪投资	3.4142000675201416	2.6582999229431152	25.383399963378906	
600854	春兰股份	2.0041000843048096	0.5246000289916992	36.70610046386719	
002412	汉森制药	1.3202999830245972	1.1122000217437744	17.97879981994629	
600356	恒丰纸业	2.327899932861328	1.8414000272750854	83.3322982788086	
002056	横店东磁	2.565000057220459	2.1881000995635986	61.64120101928711	
300330	华虹计通	3.2716000080108643	2.936300039291382	27.956300735473633	
300456	耐威科技	2.4860999584198	2.1301000118255615	71.90779876708984	
300667	必创科技	3.2850000858306885	2.446500062942505	39.07849884033203	
