code	name	artu_deal	inven_deal	curr_deal
000971	高升控股	-0.568996258773331	36.93490674445653	-0.2652500544729388	
002649	博彦科技	0.0007390084003696058	202.34776559313235	0.8522861758914141	
603377	东方时尚	44.0838686539981	343.9594766826879	-0.19375370566504269	
300467	迅游科技	3.974622668423699	43.9711525459755	-0.6671047604493009	
000415	渤海金控	0.879370963708313	2.957080290193243	0.23662186152675627	
300347	泰格医药	-0.5854664183378059	29.709997459879137	0.29342367882432224	
603569	长久物流	-0.8848037072605	77.08340229461122	0.33854702457267766	
603357	设计总院	-0.949238471756446	67.53113370241205	-0.1640577095569411	
002707	众信旅游	-0.4318919202379746	26.244622090132893	1.7158738747601956	
000088	盐田港	-0.21821480984177322	33.311186943740076	-0.8654954172354496	
600452	涪陵电力	-0.3798898780749289	33.0053180723841	0.5743108218897321	
000429	粤高速A	-0.5145811263741035	13.446038385863579	0.025559105431309983	
600897	厦门空港	-0.6057501103370859	18.769687747030257	0.12007374971191488	
603598	引力传媒	0.38008757987021546	5.828735705909308	1.9324749751661952	
002400	省广集团	-0.2838432468809856	16.022655191839156	0.01298383644850281	
600576	祥源文化	-0.8424201895835438	26.859539751801666	0.32453236441932426	
300518	盛讯达	-0.9154889932687759	28.181057445714927	-0.8251648229135521	
600605	汇通能源	-0.7422718597394253	15.942253271599615	0.7778846753431856	
600270	外运发展	-0.635023595917577	7.1835568585360905	-0.39544737355292797	
300170	汉得信息	-0.7055745720293121	3.7575712021059884	0.08318232934093492	
601519	大智慧	0.7302015168277466	3.4565562320112337	0.10815323344971658	
300675	建科院	-0.959226004790699	9.441051708645693	-0.38009608124338007	
300383	光环新网	0.11521769138897252	2.333145899767094	0.7435240157731645	
000503	国新健康	2.4913285546524144	2.1323172585129986	-0.7969033132485748	
600131	岷江水电	1.068633746471241	4.742774291680578	0.7526772904283671	
000791	甘肃电投	-0.9338712484148036	2.6563946785060333	-0.6625397110063537	
600865	百大集团	-0.7461021023345995	19.507566387057288	0.3025268827008526	
002039	黔源电力	-0.7110256654025866	2.6261717883263898	-0.16447402131584313	
000089	深圳机场	-0.5272186109420969	1.3264393573139817	-0.427996525253958	
600221	海航控股	1.7472754849179768	1.2927965137340411	-0.09125640434697845	
600168	武汉控股	-0.9320353089797001	9.065015555547799	-0.6239304799069223	
600233	圆通速递	4.801609915607421	32.41131271347939	1.0178199561993304	
000889	茂业通信	-0.98722800314809	14.34019529081068	-0.362733596334997	
000796	凯撒旅游	-0.9395890604198119	26.587072985460573	0.1870768931058756	
300494	盛天网络	-0.7560064469591592	2.4712428766260874	-0.579801655070363	
300550	和仁科技	-0.9647906939631842	2.1428532158481257	-0.647360046216294	
600868	梅雁吉祥	-0.8618381440095003	0.9611233055390236	-0.5663654181184666	
603888	新华网	-0.9354640593372813	1.9581590848076356	-0.6904192405730413	
600995	文山电力	34.93490812393359	0.9292364894148677	2.5229267011682737	
002468	申通快递	1.8454642176713651	29.016440264944357	1.0979202831042267	
603533	掌阅科技	-0.6255470067751282	1.8644440009287688	0.5078142023888567	
300012	华测检测	0.9202423345179356	33.77778592987453	0.6792882562277577	
300578	会畅通讯	-0.8757701209415304	1.6215986022829487	0.041587063491662205	
002120	韵达股份	-0.018737902068713605	8.76958191645928	0.9762735519888347	
300215	电科院	5.0887939461578835	34.95262287230719	-0.22392624291443508	
600242	中昌数据	-0.4411763260355222	0.2852492219599208	0.017160990657187698	
600009	上海机场	-0.5738491768214466	0.2603134245748896	-0.5986402396865638	
002312	三泰控股	-0.33799491456590713	-0.25524093371591006	-0.540535364398415	
600722	金牛化工	1.989839465654458	21.588437562578044	-0.364090708190256	
002357	富临运业	0.006286019283678789	0.08779173977976563	1.2597727232435687	
000524	岭南控股	1.4695328133875565	-0.26138357548706426	4.482679915391808	
000882	华联股份	-0.9499463282117129	5.580635121418311	-0.8919464351927835	
300348	长亮科技	-0.7309841375267824	-0.40434286115235696	-0.11824963046990491	
603689	皖天然气	0.3443999965962182	0.7159797709766494	2.9321210846639976	
603885	吉祥航空	6.121820248429768	-0.6950410201470789	1.9316650110796971	
300144	宋城演艺	2.4212689660583466	-0.35976078091791236	0.15710561267155346	
600640	号百控股	-0.620318156216712	-0.36390785563937683	0.021083181661665958	
600025	华能水电	0.9496030901183127	1.834497890954975	1.1679365328725158	
002352	顺丰控股	0.7172972507890795	-0.7230243721775875	2.058829372659891	
601021	春秋航空	4.946578174193998	-0.2166106675321279	-0.02591876894711663	
603223	恒通股份	0.40828551904397115	0.4977400585835175	8.354609974003342	
600617	国新能源	0.5066214134826795	2.229707517292672	0.798750038610833	
600093	易见股份	-0.5708343666561392	13.701081901204727	-0.26700427312719793	
603000	人民网	-0.4734523135524214	-0.5683653232279136	-0.4117964809931399	
603117	万林股份	-0.8270754772477568	0.22699827194331726	-0.8882688146432679	
600705	中航资本	0.5270753343042499	-0.9736927505557742	-0.8721785442556429	
600179	安通控股	-0.2571979356035186	5.318385459721804	0.39272040212470105	
300058	蓝色光标	-0.3875860640886265	-0.4573705446662086	0.26173539063614665	
002210	飞马国际	-0.20988128810807039	-0.4554847953933022	0.26558760437534334	
600033	福建高速	-0.9244405901047185	-0.6230865270629466	0.9486039727739966	
600050	中国联通	2.2923020291722285	-0.6665788571609235	3.5796638135505816	
600317	营口港	-0.6070771042437265	-0.49879459337894944	-0.3695995177903452	
002325	洪涛股份	-0.8493076117347234	8.801721996266409	-0.39722391640918764	
000007	全新好	-0.20351942150794947	-0.6240770167576288	-0.842628756948202	
