code	name	mbrg	nprg	targ	
603678	火炬电子	16.25189971923828	8.903599739074707	75.95220184326172	
300284	苏交科	112.51570129394531	8.424500465393066	55.78409957885742	
002802	洪汇新材	14.544500350952148	8.31779956817627	65.60669708251953	
600518	康美药业	21.55970001220703	8.100899696350098	47.831298828125	
603017	中衡设计	28.345699310302734	7.779399871826172	30.107099533081055	
002501	利源精制	36.419700622558594	7.585100173950195	63.47959899902344	
000826	启迪桑德	11.142000198364258	7.406400203704834	38.45159912109375	
002341	新纶科技	23.369699478149414	7.195099830627441	54.60300064086914	
300470	日机密封	20.472999572753906	5.663099765777588	32.15230178833008	
300488	恒锋工具	43.324501037597656	5.294400215148926	42.82149887084961	
300156	神雾环保	129.8708953857422	4.934199810028076	31.89780044555664	
600698	湖南天雁	47.58039855957031	4.8520002365112305	30.24220085144043	
300253	卫宁健康	24.46419906616211	2.4047999382019043	31.348600387573242	
300522	世名科技	22.33530044555664	1.7101000547409058	80.66210174560547	
300381	溢多利	17.340599060058594	1.2905999422073364	32.84859848022461	
300351	永贵电器	45.79330062866211	-1.2724000215530396	136.32749938964844	
300443	金雷风电	44.20130157470703	-2.061199903488159	57.9900016784668	
601163	三角轮胎	36.30870056152344	-2.252000093460083	48.879398345947266	
000905	厦门港务	63.277198791503906	-2.6993000507354736	45.35490036010742	
002219	恒康医疗	30.094600677490234	-2.866499900817871	32.979400634765625	
603885	吉祥航空	22.0216007232666	-4.405399799346924	30.657400131225586	
603601	再升科技	23.597400665283203	-5.072199821472168	186.01449584960938	
300379	东方通	30.956899642944336	-5.728300094604492	106.28359985351562	
300259	新天科技	20.97920036315918	-5.9253997802734375	92.904296875	
002668	奥马电器	13.52970027923584	-6.321700096130371	104.88420104980469	
000532	华金资本	54.936798095703125	-11.2431001663208	51.00210189819336	
000002	万科A	27.224899291992188	-11.253800392150879	34.59370040893555	
603268	松发股份	73.35690307617188	-11.724100112915039	47.83980178833008	
300147	香雪制药	45.49589920043945	-12.690999984741211	88.14820098876953	
002102	冠福股份	517.463623046875	-14.293299674987793	56.090999603271484	
002356	赫美集团	110.36849975585938	-14.541000366210938	63.45880126953125	
300216	千山药机	20.910900115966797	-15.157999992370605	38.16320037841797	
603822	嘉澳环保	93.04100036621094	-15.812199592590332	44.241798400878906	
002681	奋达科技	14.215499877929688	-15.85890007019043	34.83319854736328	
002509	天广中茂	19.811899185180664	-16.371299743652344	46.6338996887207	
300005	探路者	21.25860023498535	-17.71430015563965	30.606399536132812	
300496	中科创达	39.042999267578125	-18.510700225830078	98.39320373535156	
300412	迦南科技	16.625099182128906	-21.4601993560791	82.88400268554688	
300510	金冠电气	27.22130012512207	-23.74049949645996	63.957698822021484	
002124	天邦股份	35.07720184326172	-23.80109977722168	116.34429931640625	
002418	康盛股份	32.56449890136719	-23.899599075317383	79.30359649658203	
600312	平高电气	69.79209899902344	-25.175899505615234	46.88800048828125	
002796	世嘉科技	18.511199951171875	-25.590200424194336	81.82060241699219	
600755	厦门国贸	52.830101013183594	-25.75819969177246	44.927101135253906	
002623	亚玛顿	35.054901123046875	-25.8518009185791	47.75419998168945	
300426	唐德影视	53.69060134887695	-26.229700088500977	89.28469848632812	
601992	金隅集团	52.58530044555664	-26.409500122070312	57.74909973144531	
000732	泰禾集团	24.509599685668945	-30.81209945678711	69.64189910888672	
002130	沃尔核材	41.194400787353516	-32.662601470947266	48.61259841918945	
002686	亿利达	36.681400299072266	-32.972198486328125	62.213199615478516	
600221	海航控股	44.18479919433594	-33.04209899902344	40.54359817504883	
002407	多氟多	25.153799057006836	-34.09619903564453	32.19279861450195	
300272	开能健康	27.340299606323242	-34.15060043334961	59.553001403808594	
002165	红宝丽	30.600299835205078	-35.86349868774414	38.11589813232422	
000035	中国天楹	46.6083984375	-36.967899322509766	37.20330047607422	
002547	春兴精工	19.586599349975586	-38.648799896240234	94.26170349121094	
002208	合肥城建	20.561899185180664	-39.788700103759766	66.58409881591797	
002157	正邦科技	15.253399848937988	-41.79439926147461	31.99970054626465	
300023	宝德股份	48.71039962768555	-45.551700592041016	32.780799865722656	
600898	国美通讯	112.51370239257812	-46.66170120239258	188.70590209960938	
300265	通光线缆	98.2603988647461	-47.2859992980957	56.94089889526367	
300131	英唐智控	126.42050170898438	-47.9640998840332	48.551300048828125	
600119	长江投资	135.0821990966797	-48.42959976196289	33.212501525878906	
600143	金发科技	44.502498626708984	-48.945701599121094	45.3754997253418	
603019	中科曙光	24.293500900268555	-51.71590042114258	36.706298828125	
603569	长久物流	27.640100479125977	-59.452598571777344	75.98889923095703	
300332	天壕环境	10.266799926757812	-94.625	80.96510314941406	
000150	宜华健康	89.58799743652344	-95.76709747314453	52.75400161743164	
600734	实达集团	42384.890625	-96.80570220947266	1465.8070068359375	
002190	成飞集成	11.47350025177002	-97.6801986694336	36.178001403808594	
300425	环能科技	32.24359893798828	-128.00840759277344	62.8135986328125	
600578	京能电力	27.80299949645996	-142.41549682617188	46.729801177978516	
300495	美尚生态	29.035900115966797	-147.01809692382812	179.91439819335938	
001896	豫能控股	57.1505012512207	-265.3794860839844	43.94839859008789	
000519	中兵红箭	83.41850280761719	-273.1961975097656	89.70379638671875	
002212	南洋股份	69.66809844970703	-344.9363098144531	194.82069396972656	
600751	海航科技	11371.759765625	-508.3291931152344	761.6875	
300465	高伟达	73.28489685058594	-832.7998046875	82.52169799804688	
603322	超讯通信	21.358699798583984	-1054.80810546875	55.25979995727539	
002180	纳思达	675.753173828125	-1560.6798095703125	1543.849609375	
