code	name	mbrg	nprg	
002545	东方铁塔	24.334999084472656	19.98740005493164	
002551	尚荣医疗	18.269500732421875	19.945499420166016	
002413	雷科防务	56.22520065307617	19.90760040283203	
300103	达刚路机	18.822200775146484	19.881099700927734	
002603	以岭药业	19.325899124145508	19.78420066833496	
002598	山东章鼓	36.68629837036133	19.117700576782227	
300463	迈克生物	28.986600875854492	18.9906005859375	
002140	东华科技	19.164499282836914	18.9424991607666	
002801	微光股份	31.261899948120117	18.856199264526367	
600660	福耀玻璃	17.677400588989258	18.829299926757812	
601985	中国核电	19.226999282836914	18.690799713134766	
002631	德尔未来	36.90530014038086	18.62220001220703	
600761	安徽合力	29.089099884033203	18.57390022277832	
603998	方盛制药	32.94200134277344	18.545900344848633	
000521	长虹美菱	25.29400062561035	18.335399627685547	
600841	上柴股份	26.805200576782227	18.302799224853516	
600276	恒瑞医药	18.76490020751953	18.23259925842285	
300310	宜通世纪	35.04690170288086	18.189899444580078	
002531	天顺风能	37.846099853515625	17.76849937438965	
002372	伟星新材	23.348899841308594	17.74020004272461	
000413	东旭光电	37.1713981628418	17.723899841308594	
002382	蓝帆医疗	23.587600708007812	17.706100463867188	
600779	水井坊	32.78120040893555	17.681900024414062	
002664	长鹰信质	35.75830078125	17.66010093688965	
300473	德尔股份	18.527099609375	17.615800857543945	
300246	宝莱特	20.175199508666992	17.551700592041016	
300320	海达股份	27.17460060119629	17.410400390625	
300190	维尔利	80.63590240478516	17.365800857543945	
600552	凯盛科技	50.450401306152344	17.315099716186523	
002776	柏堡龙	32.08509826660156	16.811899185180664	
000766	通化金马	52.809898376464844	16.757200241088867	
300212	易华录	48.43299865722656	16.608400344848633	
603010	万盛股份	25.957199096679688	16.56279945373535	
300428	四通新材	48.69900131225586	16.540599822998047	
002206	海利得	18.885299682617188	16.45560073852539	
603688	石英股份	17.986600875854492	16.420700073242188	
603766	隆鑫通用	20.21980094909668	16.33679962158203	
603555	贵人鸟	46.46419906616211	16.15180015563965	
002454	松芝股份	38.54990005493164	16.024499893188477	
600229	城市传媒	19.205400466918945	15.66409969329834	
600008	首创股份	24.769399642944336	15.386099815368652	
603519	立霸股份	54.750099182128906	15.286600112915039	
603158	腾龙股份	36.682701110839844	15.285799980163574	
300114	中航电测	31.478200912475586	15.23390007019043	
000828	东莞控股	17.2052001953125	14.96150016784668	
002296	辉煌科技	18.21139907836914	14.90250015258789	
000708	大冶特钢	62.61989974975586	14.893600463867188	
002573	清新环境	115.63809967041016	14.847800254821777	
002371	北方华创	132.60260009765625	14.83650016784668	
300493	润欣科技	26.194400787353516	14.464599609375	
002403	爱仕达	18.827299118041992	14.463299751281738	
603899	晨光文具	24.65559959411621	14.435999870300293	
601339	百隆东方	21.958799362182617	14.319700241088867	
300254	仟源医药	32.01810073852539	14.278400421142578	
600279	重庆港九	395.0622863769531	14.181699752807617	
603889	新澳股份	22.699499130249023	14.060999870300293	
002406	远东传动	68.51390075683594	14.014599800109863	
600498	烽火通信	26.220699310302734	13.831999778747559	
002708	光洋股份	163.11659240722656	13.748600006103516	
603002	宏昌电子	21.662799835205078	13.73639965057373	
600990	四创电子	44.70800018310547	13.517800331115723	
000541	佛山照明	20.937400817871094	13.414299964904785	
002783	凯龙股份	42.97129821777344	13.270299911499023	
601877	正泰电器	67.16010284423828	12.810600280761719	
002612	朗姿股份	101.2844009399414	12.568499565124512	
300242	佳云科技	18.303300857543945	12.523200035095215	
000980	众泰汽车	41.12730026245117	12.474300384521484	
000333	美的集团	55.85129928588867	12.458100318908691	
300353	东土科技	39.19089889526367	12.41919994354248	
002806	华锋股份	33.91450119018555	12.311100006103516	
002815	崇达技术	42.82899856567383	12.291299819946289	
300100	双林股份	35.119300842285156	12.115799903869629	
300314	戴维医疗	22.176000595092773	11.596099853515625	
300236	上海新阳	29.70330047607422	11.305399894714355	
603901	永创智能	29.949600219726562	11.227299690246582	
300182	捷成股份	30.430299758911133	11.020500183105469	
002643	万润股份	44.71739959716797	10.959500312805176	
600343	航天动力	42.237701416015625	10.90999984741211	
600350	山东高速	16.622100830078125	10.772000312805176	
300501	海顺新材	28.87070083618164	10.424699783325195	
600690	青岛海尔	69.72530364990234	10.340900421142578	
002095	生意宝	90.91529846191406	10.312700271606445	
002085	万丰奥威	17.265399932861328	10.174500465393066	
300394	天孚通信	23.300500869750977	10.020400047302246	
002293	罗莱生活	38.66059875488281	9.908900260925293	
600196	复星医药	20.285400390625	9.734000205993652	
000786	北新建材	23.92569923400879	9.678000450134277	
300440	运达科技	19.93720054626465	9.43280029296875	
600565	迪马股份	26.547100067138672	9.204899787902832	
300417	南华仪器	22.318899154663086	9.192500114440918	
603678	火炬电子	16.25189971923828	8.903599739074707	
600172	黄河旋风	27.26449966430664	8.812100410461426	
600271	航天信息	32.70759963989258	8.753000259399414	
300063	天龙集团	33.59709930419922	8.611000061035156	
002595	豪迈科技	20.042200088500977	8.431500434875488	
300284	苏交科	112.51570129394531	8.424500465393066	
600518	康美药业	21.55970001220703	8.100899696350098	
002544	杰赛科技	31.10099983215332	8.078800201416016	
300172	中电环保	21.491199493408203	8.028200149536133	
600051	宁波联合	30.48390007019043	8.002799987792969	
603017	中衡设计	28.345699310302734	7.779399871826172	
002559	亚威股份	34.678001403808594	7.7245001792907715	
600330	天通股份	19.507699966430664	7.690700054168701	
002501	利源精制	36.419700622558594	7.585100173950195	
603669	灵康药业	18.042299270629883	7.291299819946289	
002913	奥士康	31.37179946899414	7.259300231933594	
002341	新纶科技	23.369699478149414	7.195099830627441	
